Angulo;Velocidad;AlcanceX;AlcanceY;Tiempo total
1;6;0,128071548;0,064035774;0,021348509
1;12;0,51228619;0,256143095;0,042697019
1;18;1,152643928;0,576321964;0,064045528
1;24;2,049144761;1,02457238;0,085394038
1;30;3,201788688;1,600894344;0,106742547
2;6;0,25598706;0,12799353;0,042690516
2;12;1,023948238;0,511974119;0,085381032
2;18;2,303883537;1,151941768;0,128071548
2;24;4,095792954;2,047896477;0,170762063
2;30;6,39967649;3,199838245;0,213452579
3;6;0,383590691;0,191795345;0,064019518
3;12;1,534362764;0,767181382;0,128039037
3;18;3,452316218;1,726158109;0,192058555
3;24;6,137451054;3,068725527;0,256078073
3;30;9,589767272;4,794883636;0,320097592
4;6;0,510726976;0,255363488;0,08532902
4;12;2,042907904;1,021453952;0,17065804
4;18;4,596542784;2,298271392;0,25598706
4;24;8,171631616;4,085815808;0,341316079
4;30;12,7681744;6,3840872;0,426645099
5;6;0,637241019;0,318620509;0,106612529
5;12;2,548964076;1,274482038;0,213225059
5;18;5,735169171;2,867584585;0,319837588
5;24;10,1958563;5,097928152;0,426450117
5;30;15,93102547;7,965512737;0,533062647
6;6;0,762978682;0,381489341;0,127863564
6;12;3,051914728;1,525957364;0,255727127
6;18;6,866808137;3,433404069;0,383590691
6;24;12,20765891;6,103829455;0,511454255
6;30;19,07446705;9,537233524;0,639317818
7;6;0,887786773;0,443893386;0,149075649
7;12;3,551147091;1,775573546;0,298151299
7;18;7,990080956;3,995040478;0,447226948
7;24;14,20458837;7,102294183;0,596302598
7;30;22,19466932;11,09733466;0,745378247
8;6;1,011513232;0,505756616;0,170242325
8;12;4,046052929;2,023026465;0,340484651
8;18;9,103619091;4,551809546;0,510726976
8;24;16,18421172;8,092105859;0,680969301
8;30;25,28783081;12,6439154;0,851211627
9;6;1,134007319;0,567003659;0,191357144
9;12;4,536029275;2,268014638;0,382714288
9;18;10,20606587;5,103032935;0,574071431
9;24;18,1441171;9,07205855;0,765428575
9;30;28,35018297;14,17509149;0,956785719
10;6;1,255119792;0,627559896;0,212413673
10;12;5,020479168;2,510239584;0,424827346
10;18;11,29607813;5,648039064;0,637241019
10;24;20,08191667;10,04095834;0,849654692
10;30;31,3779948;15,6889974;1,062068365
11;6;1,374703095;0,687351548;0,233405499
11;12;5,49881238;2,74940619;0,466810998
11;18;12,37232786;6,186163928;0,700216497
11;24;21,99524952;10,99762476;0,933621996
11;30;34,36757738;17,18378869;1,167027495
12;6;1,492611534;0,746305767;0,254326227
12;12;5,970446137;2,985223068;0,508652455
12;18;13,43350381;6,716751904;0,762978682
12;24;23,88178455;11,94089227;1,017304909
12;30;37,31528836;18,65764418;1,271631137
13;6;1,608701456;0,804350728;0,275169485
13;12;6,434805824;3,217402912;0,550338971
13;18;14,4783131;7,239156552;0,825508456
13;24;25,7392233;12,86961165;1,100677942
13;30;40,2175364;20,1087682;1,375847427
14;6;1,722831423;0,861415712;0,295928924
14;12;6,891325692;3,445662846;0,591857849
14;18;15,50548281;7,752741404;0,887786773
14;24;27,56530277;13,78265138;1,183715697
14;30;43,07078558;21,53539279;1,479644621
15;6;1,834862385;0,917431193;0,31659822
15;12;7,339449541;3,669724771;0,633196441
15;18;16,51376147;8,256880734;0,949794661
15;24;29,35779817;14,67889908;1,266392881
15;30;45,87155963;22,93577982;1,582991102
16;6;1,94465785;0,972328925;0,337171077
16;12;7,778631402;3,889315701;0,674342155
16;18;17,50192065;8,750960327;1,011513232
16;24;31,11452561;15,5572628;1,34868431
16;30;48,61644626;24,30822313;1,685855387
17;6;2,052084049;1,026042025;0,357641229
17;12;8,208336198;4,104168099;0,715282458
17;18;18,46875644;9,234378222;1,072923687
17;24;32,83334479;16,4166724;1,430564916
17;30;51,30210124;25,65105062;1,788206145
18;6;2,1570101;1,07850505;0,37800244
18;12;8,628040401;4,3140202;0,756004879
18;18;19,4130909;9,706545451;1,134007319
18;24;34,5121616;17,2560808;1,512009758
18;30;53,9252525;26,96262625;1,890012198
19;6;2,259308166;1,129654083;0,398248507
19;12;9,037232665;4,518616333;0,796497014
19;18;20,3337735;10,16688675;1,194745521
19;24;36,14893066;18,07446533;1,592994028
19;30;56,48270416;28,24135208;1,991242535
20;6;2,358853614;1,179426807;0,418373264
20;12;9,435414454;4,717707227;0,836746528
20;18;21,22968252;10,61484126;1,255119792
20;24;37,74165782;18,87082891;1,673493056
20;30;58,97134034;29,48567017;2,09186632
21;6;2,455525161;1,22776258;0,43837058
21;12;9,822100644;4,911050322;0,876741161
21;18;22,09972645;11,04986322;1,315111741
21;24;39,28840258;19,64420129;1,753482322
21;30;61,38812902;30,69406451;2,191852902
22;6;2,549205029;1,274602515;0,458234365
22;12;10,19682012;5,098410058;0,91646873
22;18;22,94284526;11,47142263;1,374703095
22;24;40,78728047;20,39364023;1,83293746
22;30;63,73012573;31,86506287;2,291171825
23;6;2,639779084;1,319889542;0,477958567
